username,game_seq,pawn_color,winner
Alessandro,0,Black,
STEFAN,17,White,true
illia,1,Black,
illia,2,Black,
Alessandro,3,Black,false
STEFAN,3,White,true
Alessandro,4,Black,false
STEFAN,4,White,true
Alessandro,5,Black,true
Alessandro,6,Black,false
Alessandro,7,Black,true
STEFAN,8,Black,false
Alessandro,9,Black,false
STEFAN,9,White,true
STEFAN,10,Black,true
illia,11,Black,
Alessandro,12,Black,false
STEFAN,12,White,false
STEFAN,13,White,false
Alessandro,13,Black,true
Alessandro,14,Blue,true
Alessandro,15,Black,false
STEFAN,15,White,true
Alessandro,16,Black,false
STEFAN,16,White,true
illia,18,Black,false
illia,19,Black,false
illia,20,Black,false
illia,21,Black,false
illia,22,Black,false
illia,23,Black,false
illia,24,Black,false
