turn_number,username,game_seq
1,Alessandro,0
3,Alessandro,0
5,Alessandro,0
7,Alessandro,0
9,Alessandro,0
11,Alessandro,0
13,Alessandro,0
15,Alessandro,0
17,Alessandro,0
19,Alessandro,0
21,Alessandro,0
23,Alessandro,0
25,Alessandro,0
27,Alessandro,0
29,Alessandro,0
1,illia,1
3,illia,1
5,illia,1
1,illia,2
3,illia,2
5,illia,2
7,illia,2
9,illia,2
11,illia,2
13,illia,2
15,illia,2
17,illia,2
19,illia,2
21,illia,2
23,illia,2
25,illia,2
27,illia,2
1,Alessandro,3
2,STEFAN,3
3,Alessandro,3
4,STEFAN,3
5,Alessandro,3
6,STEFAN,3
7,Alessandro,3
8,STEFAN,3
9,Alessandro,3
10,STEFAN,3
11,Alessandro,3
12,STEFAN,3
13,Alessandro,3
14,STEFAN,3
15,Alessandro,3
16,STEFAN,3
17,Alessandro,3
18,STEFAN,3
19,Alessandro,3
20,STEFAN,3
21,Alessandro,3
22,STEFAN,3
23,Alessandro,3
24,STEFAN,3
25,Alessandro,3
26,STEFAN,3
27,Alessandro,3
28,STEFAN,3
29,Alessandro,3
30,STEFAN,3
31,Alessandro,3
32,STEFAN,3
33,Alessandro,3
34,STEFAN,3
35,Alessandro,3
36,STEFAN,3
37,Alessandro,3
38,STEFAN,3
39,Alessandro,3
40,STEFAN,3
41,Alessandro,3
42,STEFAN,3
43,Alessandro,3
44,STEFAN,3
45,Alessandro,3
46,STEFAN,3
47,Alessandro,3
48,STEFAN,3
1,Alessandro,4
2,STEFAN,4
3,Alessandro,4
4,STEFAN,4
5,Alessandro,4
6,STEFAN,4
7,Alessandro,4
8,STEFAN,4
9,Alessandro,4
10,STEFAN,4
11,Alessandro,4
12,STEFAN,4
13,Alessandro,4
14,STEFAN,4
15,Alessandro,4
16,STEFAN,4
17,Alessandro,4
18,STEFAN,4
19,Alessandro,4
20,STEFAN,4
21,Alessandro,4
22,STEFAN,4
23,Alessandro,4
24,STEFAN,4
25,Alessandro,4
26,STEFAN,4
27,Alessandro,4
28,STEFAN,4
29,Alessandro,4
1,Alessandro,5
3,Alessandro,5
5,Alessandro,5
7,Alessandro,5
9,Alessandro,5
11,Alessandro,5
13,Alessandro,5
15,Alessandro,5
17,Alessandro,5
19,Alessandro,5
21,Alessandro,5
23,Alessandro,5
25,Alessandro,5
27,Alessandro,5
29,Alessandro,5
31,Alessandro,5
33,Alessandro,5
35,Alessandro,5
37,Alessandro,5
39,Alessandro,5
41,Alessandro,5
43,Alessandro,5
45,Alessandro,5
1,Alessandro,6
3,Alessandro,6
5,Alessandro,6
7,Alessandro,6
9,Alessandro,6
11,Alessandro,6
13,Alessandro,6
15,Alessandro,6
17,Alessandro,6
19,Alessandro,6
21,Alessandro,6
23,Alessandro,6
25,Alessandro,6
27,Alessandro,6
29,Alessandro,6
1,Alessandro,7
3,Alessandro,7
5,Alessandro,7
7,Alessandro,7
9,Alessandro,7
11,Alessandro,7
13,Alessandro,7
15,Alessandro,7
17,Alessandro,7
19,Alessandro,7
21,Alessandro,7
23,Alessandro,7
25,Alessandro,7
27,Alessandro,7
29,Alessandro,7
2,STEFAN,8
4,STEFAN,8
6,STEFAN,8
8,STEFAN,8
10,STEFAN,8
12,STEFAN,8
14,STEFAN,8
16,STEFAN,8
18,STEFAN,8
20,STEFAN,8
22,STEFAN,8
24,STEFAN,8
26,STEFAN,8
28,STEFAN,8
30,STEFAN,8
32,STEFAN,8
34,STEFAN,8
36,STEFAN,8
38,STEFAN,8
1,Alessandro,9
2,STEFAN,9
3,Alessandro,9
4,STEFAN,9
5,Alessandro,9
6,STEFAN,9
7,Alessandro,9
8,STEFAN,9
9,Alessandro,9
10,STEFAN,9
11,Alessandro,9
12,STEFAN,9
13,Alessandro,9
14,STEFAN,9
15,Alessandro,9
16,STEFAN,9
17,Alessandro,9
18,STEFAN,9
19,Alessandro,9
20,STEFAN,9
21,Alessandro,9
22,STEFAN,9
23,Alessandro,9
24,STEFAN,9
25,Alessandro,9
26,STEFAN,9
27,Alessandro,9
28,STEFAN,9
29,Alessandro,9
30,STEFAN,9
31,Alessandro,9
32,STEFAN,9
33,Alessandro,9
34,STEFAN,9
35,Alessandro,9
36,STEFAN,9
2,STEFAN,10
4,STEFAN,10
6,STEFAN,10
8,STEFAN,10
10,STEFAN,10
12,STEFAN,10
14,STEFAN,10
16,STEFAN,10
18,STEFAN,10
20,STEFAN,10
22,STEFAN,10
24,STEFAN,10
26,STEFAN,10
28,STEFAN,10
30,STEFAN,10
32,STEFAN,10
34,STEFAN,10
36,STEFAN,10
38,STEFAN,10
40,STEFAN,10
42,STEFAN,10
44,STEFAN,10
46,STEFAN,10
48,STEFAN,10
50,STEFAN,10
52,STEFAN,10
54,STEFAN,10
56,STEFAN,10
58,STEFAN,10
60,STEFAN,10
62,STEFAN,10
64,STEFAN,10
66,STEFAN,10
68,STEFAN,10
70,STEFAN,10
72,STEFAN,10
74,STEFAN,10
76,STEFAN,10
78,STEFAN,10
80,STEFAN,10
82,STEFAN,10
84,STEFAN,10
86,STEFAN,10
88,STEFAN,10
90,STEFAN,10
92,STEFAN,10
94,STEFAN,10
96,STEFAN,10
98,STEFAN,10
100,STEFAN,10
102,STEFAN,10
1,illia,11
3,illia,11
5,illia,11
7,illia,11
9,illia,11
11,illia,11
13,illia,11
15,illia,11
17,illia,11
19,illia,11
21,illia,11
1,Alessandro,12
2,STEFAN,12
3,Alessandro,12
4,STEFAN,12
5,Alessandro,12
5,Alessandro,12
1,Alessandro,13
2,STEFAN,13
3,Alessandro,13
4,STEFAN,13
5,Alessandro,13
6,STEFAN,13
7,Alessandro,13
8,STEFAN,13
9,Alessandro,13
10,STEFAN,13
11,Alessandro,13
12,STEFAN,13
13,Alessandro,13
14,STEFAN,13
15,Alessandro,13
16,STEFAN,13
17,Alessandro,13
18,STEFAN,13
19,Alessandro,13
20,STEFAN,13
21,Alessandro,13
22,STEFAN,13
23,Alessandro,13
24,STEFAN,13
25,Alessandro,13
26,STEFAN,13
27,Alessandro,13
28,STEFAN,13
29,Alessandro,13
30,STEFAN,13
31,Alessandro,13
32,STEFAN,13
33,Alessandro,13
34,STEFAN,13
35,Alessandro,13
36,STEFAN,13
37,Alessandro,13
38,STEFAN,13
39,Alessandro,13
40,STEFAN,13
41,Alessandro,13
42,STEFAN,13
43,Alessandro,13
44,STEFAN,13
45,Alessandro,13
46,STEFAN,13
47,Alessandro,13
48,STEFAN,13
49,Alessandro,13
50,STEFAN,13
51,Alessandro,13
52,STEFAN,13
53,Alessandro,13
54,STEFAN,13
55,Alessandro,13
56,STEFAN,13
57,Alessandro,13
58,STEFAN,13
59,Alessandro,13
60,STEFAN,13
61,Alessandro,13
62,STEFAN,13
63,Alessandro,13
64,STEFAN,13
65,Alessandro,13
2,Alessandro,14
2,Alessandro,14
4,Alessandro,14
4,Alessandro,14
6,Alessandro,14
6,Alessandro,14
7,Alessandro,14
9,Alessandro,14
3,Alessandro,14
7,Alessandro,14
3,Alessandro,14
9,Alessandro,14
7,Alessandro,14
2,Alessandro,14
4,Alessandro,14
9,Alessandro,14
11,Alessandro,14
11,Alessandro,14
12,Alessandro,14
14,Alessandro,14
16,Alessandro,14
1,Alessandro,15
2,STEFAN,15
3,Alessandro,15
4,STEFAN,15
5,Alessandro,15
6,STEFAN,15
7,Alessandro,15
8,STEFAN,15
9,Alessandro,15
10,STEFAN,15
11,Alessandro,15
12,STEFAN,15
13,Alessandro,15
14,STEFAN,15
15,Alessandro,15
16,STEFAN,15
17,Alessandro,15
18,STEFAN,15
19,Alessandro,15
20,STEFAN,15
21,Alessandro,15
22,STEFAN,15
23,Alessandro,15
24,STEFAN,15
25,Alessandro,15
26,STEFAN,15
27,Alessandro,15
28,STEFAN,15
29,Alessandro,15
30,STEFAN,15
31,Alessandro,15
32,STEFAN,15
33,Alessandro,15
34,STEFAN,15
35,Alessandro,15
36,STEFAN,15
37,Alessandro,15
38,STEFAN,15
39,Alessandro,15
40,STEFAN,15
1,Alessandro,16
2,STEFAN,16
3,Alessandro,16
4,STEFAN,16
5,Alessandro,16
6,STEFAN,16
7,Alessandro,16
8,STEFAN,16
9,Alessandro,16
10,STEFAN,16
11,Alessandro,16
12,STEFAN,16
13,Alessandro,16
14,STEFAN,16
15,Alessandro,16
16,STEFAN,16
17,Alessandro,16
18,STEFAN,16
19,Alessandro,16
20,STEFAN,16
21,Alessandro,16
22,STEFAN,16
23,Alessandro,16
24,STEFAN,16
25,Alessandro,16
26,STEFAN,16
2,STEFAN,17
4,STEFAN,17
6,STEFAN,17
8,STEFAN,17
10,STEFAN,17
12,STEFAN,17
14,STEFAN,17
16,STEFAN,17
18,STEFAN,17
20,STEFAN,17
22,STEFAN,17
24,STEFAN,17
26,STEFAN,17
28,STEFAN,17
30,STEFAN,17
32,STEFAN,17
34,STEFAN,17
36,STEFAN,17
38,STEFAN,17
40,STEFAN,17
42,STEFAN,17
44,STEFAN,17
46,STEFAN,17
48,STEFAN,17
50,STEFAN,17
52,STEFAN,17
54,STEFAN,17
56,STEFAN,17
58,STEFAN,17
60,STEFAN,17
62,STEFAN,17
64,STEFAN,17
66,STEFAN,17
68,STEFAN,17
70,STEFAN,17
72,STEFAN,17
74,STEFAN,17
76,STEFAN,17
78,STEFAN,17
80,STEFAN,17
82,STEFAN,17
84,STEFAN,17
86,STEFAN,17
88,STEFAN,17
90,STEFAN,17
92,STEFAN,17
94,STEFAN,17
96,STEFAN,17
98,STEFAN,17
100,STEFAN,17
102,STEFAN,17
104,STEFAN,17
106,STEFAN,17
108,STEFAN,17
110,STEFAN,17
112,STEFAN,17
114,STEFAN,17
116,STEFAN,17
118,STEFAN,17
120,STEFAN,17
122,STEFAN,17
1,illia,18
3,illia,18
5,illia,18
7,illia,18
9,illia,18
11,illia,18
13,illia,18
15,illia,18
1,illia,19
3,illia,19
5,illia,19
7,illia,19
9,illia,19
11,illia,19
13,illia,19
15,illia,19
1,illia,20
3,illia,20
5,illia,20
7,illia,20
9,illia,20
11,illia,20
13,illia,20
15,illia,20
1,illia,21
3,illia,21
5,illia,21
7,illia,21
9,illia,21
11,illia,21
13,illia,21
15,illia,21
1,illia,22
3,illia,22
5,illia,22
7,illia,22
9,illia,22
11,illia,22
13,illia,22
15,illia,22
1,illia,23
3,illia,23
5,illia,23
7,illia,23
9,illia,23
11,illia,23
13,illia,23
1,illia,24
3,illia,24
5,illia,24
7,illia,24
9,illia,24
11,illia,24
13,illia,24
15,illia,24
17,illia,24
